uniprot,protein_names,gene_names,WT_p_value,WT_Effect_size,CKO_p_value,CKO_Effect_size,Genotype_p_value,Genotype_Effect_size,Gender_p_value,Genotype_Effect_size
A2AR02,Peptidyl-prolyl cis-trans isomerase G,Ppig,0.5318,-0.03813,0.8849,-0.00913,0.0011,-0.3405,0.7818,0.04492
A2ARA8,Integrin alpha-8;Integrin alpha-8 heavy chain;Integrin alpha-8 light chain,Itga8,0.3045,-0.06261,0.9139,0.006822,0.0001,-1.072,0.7654,0.0484
A2ARV4,Low-density lipoprotein receptor-related protein 2,Lrp2,0.9465,-0.004088,0.2247,-0.07658,0.6641,0.04523,0.6806,0.06675
A2ASQ1,Agrin;Agrin N-terminal 110 kDa subunit;Agrin C-terminal 110 kDa subunit;Agrin C-terminal 90 kDa fragment;Agrin C-terminal 22 kDa fragment,Agrn,0.2558,-0.06929,0.0284,-0.1383,0.0001,-0.8542,0.2794,0.1754
A2ASS6,Titin,Ttn,0.5735,0.03432,0.9028,-0.007701,0.9143,0.0112,0.5643,-0.09349
A2AT37,,Upf2,0.6831,0.02489,0.3639,0.05727,0.1799,0.1397,0.8774,0.02502
A2ATU0,"Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial",Dhtkd1,0.1886,0.08017,0.5822,-0.0347,0.0026,0.314,0.2378,-0.1914
A2AVA0,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1",Svep1,0.4031,-0.05098,0.6812,-0.02592,0.4611,0.07676,0.5103,-0.1068
A2AVZ9,Solute carrier family 43 member 3,Slc43a3,0.0461,-0.1216,0.0013,0.2028,0.4943,-0.0712,0.8836,0.02374
A2AWA9,Rab GTPase-activating protein 1,Rabgap1,0.7441,-0.01991,0.5682,-0.03599,0.5864,0.05667,0.9703,-0.006042
A2BDX3,Adenylyltransferase and sulfurtransferase MOCS3;Molybdopterin-synthase adenylyltransferase;Molybdopterin-synthase sulfurtransferase,Mocs3,0.8032,0.01519,0.7114,0.02334,0.899,-0.01322,0.7102,0.06026
A2BE28,Ribosomal biogenesis protein LAS1L,Las1l,0.6742,0.02564,0.1734,0.08586,0.1276,-0.1587,0.6259,0.07906
A2BH40,AT-rich interactive domain-containing protein 1A,Arid1a,0.9082,-0.007033,0.2227,0.07692,0.1381,-0.1544,0.7082,0.06071
A2CG49,Kalirin,Kalrn,0.759,-0.01871,0.5128,-0.04128,0.1732,0.1419,0.9478,0.01062
A2RSJ4,UHRF1-binding protein 1-like,Uhrf1bp1l,0.5498,0.03646,0.5058,0.04197,0.0205,0.2414,0.8055,0.03993
A2RSQ0,DENN domain-containing protein 5B,Dennd5b,0.3984,0.05149,0.1897,-0.08272,0.4582,0.07727,0.6102,-0.08268
A2RSX7,tRNA wybutosine-synthesizing protein 5,Tyw5,0.5765,0.03405,0.151,-0.09058,0.1734,-0.1418,0.8145,0.03804
A2RSY6,TRMT1-like protein,Trmt1l,0.9395,-0.004631,0.6145,0.03177,0.3519,0.09696,0.861,0.0284
A2RTL5,Arginine/serine-rich coiled-coil protein 2,Rsrc2,0.463,-0.04475,0.1662,-0.08733,0.0001,-0.4353,0.1976,0.209
A2TJV2,Paralemmin-3,Palm3,0.6745,-0.02561,0.0018,0.1971,0.9751,-0.003248,0.9743,-0.005233
A3KGB4,TBC1 domain family member 8B,Tbc1d8b,0.9263,-0.005644,0.1584,0.08897,0.2815,0.1122,0.3679,-0.146
A3KGF9,Uncharacterized protein C15orf52 homolog,,0.3415,0.05799,0.7789,0.01771,0.0029,0.3099,0.7965,0.04182
A3KGK3,Fer-1-like protein 4,Fer1l4,0.8599,-0.01076,0.9987,-0.0001048,0.3985,0.08795,0.3991,-0.1367
A3KGS3,Ral GTPase-activating protein subunit alpha-2,Ralgapa2,0.0024,0.1851,0.0457,-0.126,0.0001,0.6194,0.3466,0.1526
A3KGW5,Probable inactive glycosyltransferase 25 family member 3,Cercam,0.0301,-0.1322,0.4326,-0.0495,0.0001,-0.7258,0.1652,0.2251
A3KMP2,Tetratricopeptide repeat protein 38,Ttc38,0.8183,-0.01401,0.3885,-0.05439,0.0713,-0.1878,0.7363,-0.05462
A6H5X4,PHD finger protein 11,Phf11,0.6756,-0.02552,0.0026,-0.1897,0.0001,-0.7088,0.3605,-0.1483
A6H5Y3,Methionine synthase,Mtr,0.4628,0.04477,0.7419,0.02078,0.1167,-0.1634,0.9972,-0.0005744
A6H5Z3,Exocyst complex component 6B,Exoc6b,0.8766,0.009471,0.8556,0.01148,0.003,0.3091,0.5944,-0.08635
A6H611,Mitochondrial intermediate peptidase,Mipep,0.3352,0.05876,0.0227,0.1438,0.8421,-0.02075,0.8489,-0.03089
A6H619,PHD and RING finger domain-containing protein 1,Phrf1,0.4191,0.04926,0.8171,-0.01458,0.0024,-0.3164,0.6078,0.08322
A6H630,Protein-glutamate O-methyltransferase,Armt1,0.9208,-0.00606,0.3663,0.05699,0.3749,0.09243,0.9371,0.0128
A6H687,SAC3 domain-containing protein 1,Sac3d1,0.5795,0.03379,0.0109,0.1605,0.4489,-0.07888,0.4258,0.1291
A6H6A9,Rab GTPase-activating protein 1-like,Rabgap1l,0.3024,-0.06288,0.5675,-0.03606,0.6552,-0.04651,0.7052,-0.06134
A6H6A9,Rab GTPase-activating protein 1-like,Rabgap1l,0.773,0.01759,0.832,0.01338,0.2155,-0.129,0.6364,-0.07666
A6H8H2,DENN domain-containing protein 4C,Dennd4c,0.9033,0.007411,0.316,-0.06325,0.2878,-0.1107,0.9049,-0.01938
A6X8Z5,Rho GTPase-activating protein 31,Arhgap31,0.4964,0.04147,0.2346,0.07497,0.2006,-0.1333,0.7058,-0.06122
A6X919,Probable C-mannosyltransferase DPY19L1,Dpy19l1,0.5258,-0.03869,0.9157,0.006676,0.3214,-0.1033,0.3803,-0.1423
A8C756,Thyroid adenoma-associated protein homolog,Thada,0.3599,-0.05583,0.6812,-0.02592,0.7671,-0.03084,0.5825,0.08916
A8Y5H7,,Sec14l1,0.3035,-0.06274,0.0481,0.1247,0.6809,-0.04283,0.9851,0.003033
B0F2B4,Neuroligin 4-like,Nlgn4l,0.5146,-0.03974,0.4423,-0.04846,0.6793,-0.04306,0.5758,-0.09075
B0V2N1,Receptor-type tyrosine-protein phosphatase S,Ptprs,0.7053,-0.02306,0.0765,-0.1117,0.8273,-0.02273,0.3609,-0.1482
B1AR13,"CDGSH iron-sulfur domain-containing protein 3, mitochondrial",Cisd3,0.1313,0.09201,0.4997,0.04258,0.4298,0.08225,0.8081,0.03939
B1ARW8,Uncharacterized protein C1orf122 homolog,,0.9004,0.00763,0.0111,-0.1603,0.1941,-0.1353,0.6157,0.08141
B1AVH7,TBC1 domain family member 2A,Tbc1d2,0.5191,0.03931,0.1003,0.1037,0.8575,0.01871,0.7177,0.05864
B1AVY7,Kinesin-like protein KIF16B,Kif16b,0.349,0.0571,0.631,0.0303,0.8804,-0.01567,0.7801,-0.04528
B1AVZ0,Uracil phosphoribosyltransferase homolog,Uprt,0.5392,0.03744,0.7064,-0.02376,0.608,-0.05342,0.6204,-0.08031
B1AXD8,Akirin-2,Akirin2,0.04,0.1252,0.0339,-0.1338,0.1855,-0.1379,0.8119,-0.0386
B1AXP6,Mitochondrial import receptor subunit TOM5 homolog,Tomm5,0.4846,0.04262,0.6988,0.02441,0.7604,0.03176,0.8049,-0.04007
B1AY10,Transcriptional repressor NF-X1,Nfx1,0.1871,0.08044,0.0347,0.1332,0.001,0.3431,0.5849,-0.08858
B1AY13,Ubiquitin carboxyl-terminal hydrolase 24,Usp24,0.8545,0.01118,0.338,0.06044,0.482,0.07323,0.7635,0.0488
B1AZA5,Transmembrane protein 245,Tmem245,0.0793,0.107,0.5136,0.0412,0.0343,0.2204,0.6922,0.06421
B1AZI6,THO complex subunit 2,Thoc2,0.9259,0.005667,0.4505,0.0476,0.0779,-0.1836,0.8161,0.03772
B1AZP2,Disks large-associated protein 4,Dlgap4,0.4744,0.04361,0.7757,0.01797,0.2848,0.1114,0.7754,0.04626
B2B9E1,Triple QxxK/R motif-containing protein,Triqk,0.3801,-0.05352,0.4547,-0.04715,0.2374,0.1231,0.9541,-0.009326
B2RPU2,Pleckstrin homology domain-containing family D member 1,Plekhd1,0.8084,-0.01479,0.7796,0.01765,0.1308,0.1574,0.7826,0.04475
B2RQC6,CAD protein;Glutamine-dependent carbamoyl-phosphate synthase;Aspartate carbamoyltransferase;Dihydroorotase,Cad,0.8918,-0.008296,0.1186,0.09845,0.6413,0.04853,0.2724,0.178
B2RQE8,Rho GTPase-activating protein 42,Arhgap42,0.2636,-0.06816,0.641,-0.02941,0.642,-0.04843,0.9431,-0.01158
B2RR83,Probable ATP-dependent RNA helicase YTHDC2,Ythdc2,0.8574,0.01096,0.4793,0.04462,0.7203,0.03729,0.9812,-0.003812
B2RRD7,,Brpf1;Brpf3,0.7409,-0.02016,0.9107,0.007073,0.3621,0.09494,0.8996,-0.02046
B2RRE7,OTU domain-containing protein 4,Otud4,0.8663,0.01027,0.2559,0.07166,0.9354,-0.008447,0.4967,0.1102
B2RSH2,Guanine nucleotide-binding protein G(i) subunit alpha-1,Gnai1,0.4318,-0.04794,0.0581,-0.1195,0.0001,-0.7306,0.6098,0.08276
B2RU80,Receptor-type tyrosine-protein phosphatase beta,Ptprb,0.7645,-0.01826,0.3586,0.05791,0.0001,0.5491,0.0021,0.499
B2RUJ5,Amyloid beta A4 precursor protein-binding family A member 1,Apba1,0.0479,-0.1206,0.8209,0.01428,0.0001,0.6114,0.1355,-0.2421
B2RUR8,OTU domain-containing protein 7B,Otud7b,0.8215,-0.01376,0.3989,-0.05321,0.2262,0.1261,0.8629,0.02801
B2RVL6,Zinc finger CCHC domain-containing protein 24,Zcchc24,0.1492,-0.08794,0.436,-0.04913,0.0817,-0.1814,0.5987,-0.08534
B2RWS6,Histone acetyltransferase p300,Ep300,0.8737,0.009693,0.5324,0.03939,0.0127,-0.2594,0.6819,0.06648
B2RX14,Terminal uridylyltransferase 4,Zcchc11,0.0433,-0.1232,0.0488,-0.1243,0.0015,0.3316,0.3998,0.1366
B2RXC1,Trafficking protein particle complex subunit 11,Trappc11,0.968,-0.002443,0.5884,-0.03413,0.4707,-0.07513,0.9516,-0.009846
B2RXR6,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B,Ankrd44,0.6062,-0.03143,0.6734,-0.02658,0.48,-0.07357,0.6969,0.06317
B2RXS4,Plexin-B2,Plxnb2,0.8393,-0.01236,0.8904,0.008689,0.3853,-0.09043,0.7423,-0.05333
B2RXV4,Feline leukemia virus subgroup C receptor-related protein 1,Flvcr1,0.1991,-0.0783,0.9501,-0.003948,0.1106,-0.1662,0.5432,0.09861
B2RY04,Dedicator of cytokinesis protein 5,Dock5,0.5248,0.03877,0.6535,0.02832,0.1135,0.1648,0.8003,-0.04102
B2RY56,RNA-binding protein 25,Rbm25,0.4801,-0.04306,0.4521,0.04743,0.037,-0.2172,0.4088,0.134
B7ZMP1,Probable Xaa-Pro aminopeptidase 3,Xpnpep3,0.458,-0.04525,0.808,0.01533,0.2502,-0.1198,0.8679,-0.02697
B7ZNG0,Kinesin-like protein KIF7,Kif7,0.9501,-0.003812,0.0252,-0.1412,0.0713,-0.1879,0.6201,-0.08039
B8ZXI1,Queuine tRNA-ribosyltransferase subunit QTRTD1,Qtrtd1,0.7355,-0.0206,0.9987,-0.0001025,0.1596,0.1465,0.5112,0.1065
B9EJ80,,Pdzd8,0.4221,-0.04895,0.7613,0.01916,0.9154,-0.01107,0.7447,-0.05281
B9EJ86,Oxysterol-binding protein,Osbpl8,0.8092,-0.01472,0.782,0.01745,0.3109,-0.1055,0.9204,0.01621
B9EJR8,"Dynein assembly factor 5, axonemal",Dnaaf5,0.815,-0.01427,0.2325,0.07531,0.4046,0.08682,0.7659,0.0483
B9EKI3,TATA element modulatory factor,Tmf1,0.9284,-0.005476,0.9369,-0.004991,0.9758,0.003164,0.9624,0.00764
B9EKR1,Receptor-type tyrosine-protein phosphatase zeta,Ptprz1,0.8874,-0.008637,0.0053,-0.176,0.0586,0.197,0.5123,0.1063
C0HK80,,,0.6816,-0.02502,0.9456,0.004304,0.2289,0.1253,0.4162,0.1319
C0HKD9,,,0.5204,-0.03919,0.7687,-0.01855,0.0029,-0.3098,0.5694,0.09226
C0HKE9,Histone H2A type 1-H;Histone H2A.J;Histone H2A type 1-K;Histone H2A type 1-F;Histone H2A type 3,Hist1h2ah;H2afj;Hist1h2ak;Hist1h2af;Hist3h2a,0.0366,-0.1274,0.5819,-0.03473,0.0001,-0.8605,0.1214,0.2512
C0HKG6,,,0.3093,-0.062,0.5058,0.04197,0.5288,-0.0656,0.9692,0.006264
D3YVF0,A-kinase anchor protein 5,Akap5,0.0304,-0.132,0.7878,0.01698,0.0001,1.655,0.0054,0.4508
D3YWE6,,Mn1,0.0027,-0.1826,0.0105,-0.1615,0.0001,-0.4466,0.435,0.1266
D3YXG0,,Hmcn1,0.4247,-0.04868,0.006,-0.1732,0.0001,-1.201,0.2603,-0.1825
D3YXJ0,Diacylglycerol kinase,Dgkh,0.8767,-0.009463,0.463,0.0463,0.4204,-0.08393,0.3361,0.156
D3YXK2,Scaffold attachment factor B1,Safb,0.4051,-0.05076,0.7544,0.01973,0.0017,-0.3272,0.6361,0.07672
D3YYI7,Probable E3 ubiquitin-protein ligase RNF217,Rnf217,0.0333,0.1298,0.0004,0.2248,0.8263,0.02286,0.5505,-0.09681
D3YYU8,Obscurin-like protein 1,Obsl1,0.4894,-0.04215,0.8208,0.01429,0.9654,0.004513,0.3919,0.1388
D3YZP9,Coiled-coil domain-containing protein 6,Ccdc6,0.677,0.0254,0.8498,-0.01195,0.0583,0.1972,0.8907,0.02228
D3Z2R5,,Sepn1,0.9528,-0.00361,0.5088,0.04168,0.0002,0.3865,0.9526,-0.00963
D3Z5L6,MFS-type transporter SLC18B1,Slc18b1,0.7744,-0.01747,0.1065,0.1018,0.0027,-0.3124,0.9619,0.007756
P0DMN7,S-adenosylmethionine decarboxylase proenzyme 1;S-adenosylmethionine decarboxylase 1 alpha chain;S-adenosylmethionine decarboxylase 1 beta chain;S-adenosylmethionine decarboxylase proenzyme 2;S-adenosylmethionine decarboxylase 2 alpha chain;S-adenosylmethionine decarboxylase 2 beta chain,Amd1;Amd2,0.0205,-0.1413,0.0058,-0.1742,0.0369,-0.2173,0.4356,0.1264
D3Z7P3,"Glutaminase kidney isoform, mitochondrial",Gls,0.7522,0.01925,0.6825,0.0258,0.9871,0.001685,0.8111,0.03876
D3Z7P3,"Glutaminase kidney isoform, mitochondrial",Gls,0.9028,-0.007443,0.6571,-0.028,0.0338,-0.2211,0.8431,0.03211
E1U8D0,Protein SOGA1;N-terminal form;C-terminal 80 kDa form,Soga1,0.797,0.01569,0.5436,-0.03832,0.5633,-0.06019,0.8169,-0.03754
E2JF22,Piezo-type mechanosensitive ion channel component 1,Piezo1,0.8871,0.008655,0.8459,0.01226,0.0395,0.2144,0.5881,0.08782
E9PUQ8,Diacylglycerol kinase,Dgkd,0.5833,-0.03344,0.5922,0.03379,0.524,0.06637,0.9093,0.01848
E9PVA8,,Gcn1l1,0.8341,-0.01277,0.4296,0.04983,0.9183,0.01068,0.9426,-0.01167
E9PVB5,Tetratricopeptide repeat protein 17,Ttc17,0.305,-0.06255,0.0603,0.1185,0.235,-0.1237,0.5304,-0.1018
E9PVX6,,Mki67,0.549,0.03654,0.6294,-0.03043,0.0131,0.2583,0.6318,-0.07772
E9PXF8,,Sbf2,0.9129,-0.006668,0.8811,-0.009437,0.407,0.08637,0.6557,-0.07231
E9PY46,,Ift140,0.2352,-0.07238,0.7509,0.02002,0.2417,-0.1219,0.9622,-0.007694
E9PYH6,Histone-lysine N-methyltransferase,Setd1a,0.1253,-0.09347,0.0001,-0.2426,0.0089,0.2724,0.429,-0.1283
E9PYK3,,Parp4,0.7853,0.01661,0.5894,0.03404,0.8982,-0.01333,0.6944,-0.06371
E9PYL2,,Prr12,0.541,-0.03727,0.5941,-0.03362,0.4961,-0.07089,0.6746,-0.06808
E9PZJ8,Activating signal cointegrator 1 complex subunit 3,Ascc3,0.7391,0.02031,0.5613,0.03664,0.7965,0.02686,0.978,-0.004481
E9PZM4,Chromodomain-helicase-DNA-binding protein 2,Chd2,0.4355,-0.04755,0.5771,0.03518,0.2349,-0.1237,0.8666,0.02724
E9Q1P8,Interferon regulatory factor 2-binding protein 2,Irf2bp2,0.185,-0.08082,0.8311,0.01345,0.1731,-0.1419,0.5212,0.104
E9Q2M9,,Wdfy4,0.2959,0.06374,0.715,0.02303,0.8629,0.01799,0.3674,-0.1462
E9Q309,,Cep350,0.43,0.04812,0.6765,0.02631,0.9034,-0.01265,0.6166,0.0812
E9Q394,,Akap13,0.5238,0.03887,0.6415,-0.02937,0.8157,-0.02428,0.5317,-0.1014
E9Q3L2,,Pi4ka,0.5885,-0.03299,0.5647,0.03633,0.5538,-0.06167,0.5596,-0.09463
E9Q414,Apolipoprotein B-100;Apolipoprotein B-48,Apob,0.001,0.2004,0.1534,-0.09004,0.9774,0.00295,0.9902,-0.001988
E9Q4F7,,Ankrd11,0.0003,0.2218,0.8399,0.01274,0.0005,0.3639,0.3977,-0.1372
E9Q4N7,,Arid1b,0.2509,-0.07,0.951,0.003876,0.0008,-0.349,0.8253,0.0358
E9Q555,E3 ubiquitin-protein ligase RNF213,Rnf213,0.2218,-0.0745,0.3301,-0.06143,0.255,-0.1186,0.7237,0.05733
E9Q557,Desmoplakin,Dsp,0.0001,-0.2716,0.001,-0.2074,0.0001,0.4498,0.0299,0.3522
E9Q5C9,,Nolc1,0.894,-0.008128,0.6656,0.02726,0.0301,-0.2259,0.2401,0.1905
E9Q5F9,Histone-lysine N-methyltransferase SETD2,Setd2,0.379,-0.05364,0.5927,0.03374,0.1594,-0.1466,0.8593,0.02874
E9Q5G3,Kinesin-like protein KIF23,Kif23,0.3987,-0.05146,0.2552,-0.07177,0.0048,0.2935,0.1968,0.2093
E9Q5K9,YTH domain-containing protein 1,Ythdc1,0.0501,-0.1195,0.3902,-0.0542,0.0185,-0.2453,0.5565,0.09536
E9Q634,Unconventional myosin-Ie,Myo1e,0.8613,0.01066,0.8788,0.009616,0.0273,0.2299,0.8886,0.02272
E9Q6J5,,Bod1l,0.5861,0.0332,0.5607,0.03669,0.094,-0.1744,0.7159,0.05901
E9Q6P5,,Ttc7b,0.6829,-0.0249,0.3588,-0.05788,0.113,-0.1651,0.754,-0.05081
E9Q735,Ubiquitin conjugation factor E4 A,Ube4a,0.7209,-0.02178,0.9199,0.006344,0.608,0.05343,0.8509,-0.03047
E9Q784,,Zc3h13,0.0102,-0.1567,0.8513,0.01182,0.0068,-0.2818,0.5835,0.08892
E9Q7D5,,Arhgef5,0.6104,0.03107,0.9253,0.005911,0.2158,-0.1289,0.9223,0.01581
E9Q7E2,,Arid2,0.7169,-0.02211,0.481,0.04444,0.0002,-0.3912,0.7932,0.04251
E9Q7G0,,Numa1,0.3147,-0.0613,0.7763,0.01793,0.0001,-0.4392,0.4439,0.1242
E9Q7X6,Protein HEG homolog 1,Heg1,0.6972,-0.02372,0.8328,0.01331,0.0001,0.4748,0.8801,0.02447
E9Q8D0,,Dnajc21,0.5664,-0.03496,0.2076,-0.07949,0.1037,-0.1695,0.2729,0.1778
E9Q9R9,,Dlg5,0.7294,-0.02109,0.4508,0.04757,0.1092,0.1669,0.3544,-0.1502
E9QAM5,Helicase with zinc finger domain 2,Helz2,0.9596,-0.003091,0.1941,0.08191,0.5801,-0.05763,0.5092,0.1071
E9QAT4,,Sec16a,0.9015,-0.007549,0.7691,-0.01851,0.4399,0.08046,0.9898,-0.002081
F6ZDS4,Nucleoprotein TPR,Tpr,0.3595,-0.05588,0.7664,-0.01874,0.0209,-0.2406,0.7521,0.05123
F8VPU2,"FERM, RhoGEF and pleckstrin domain-containing protein 1",Farp1,0.8789,-0.00929,0.7033,0.02402,0.9774,0.002945,0.7648,-0.04852
F8VPZ9,,Gltscr1,0.7754,-0.0174,0.5006,0.04248,0.1821,-0.139,0.7237,0.05733
F8VQB6,Unconventional myosin-X,Myo10,0.6408,0.02845,0.5945,0.03358,0.0168,-0.2491,0.9734,0.005398
G3X9J0,,Sipa1l3,0.8915,-0.008319,0.6048,0.03264,0.043,0.2108,0.7951,0.04212
G3X9K3,Brefeldin A-inhibited guanine nucleotide-exchange protein 1,Arfgef1,0.575,-0.03419,0.8624,0.01093,0.3959,0.08843,0.9763,0.004827
G3XA59,,Lrrc32,0.0249,0.1368,0.2107,0.07895,0.045,0.2088,0.4436,-0.1242
G5E829,Plasma membrane calcium-transporting ATPase 1,Atp2b1,0.9373,0.004799,0.5067,-0.04188,0.5467,-0.06277,0.5488,-0.09723
G5E870,E3 ubiquitin-protein ligase TRIP12,Trip12,0.8649,0.01038,0.9407,0.004689,0.0658,0.1916,0.9896,-0.002109
