"uniprot","protein_names","gene_names","wt_1_t24","wt_2_t24","wt_3_t24","wt_4_t24","wt_1_t36","wt_2_t36","wt_3_t36","wt_4_t36","ko_1_t24","ko_2_t24","ko_3_t24","ko_4_t24","ko_1_t36","ko_2_t36","ko_3_t36","ko_4_t36"
"A2A791","Zinc finger MYM-type protein 4","Zmym4",10808.8030120994,13078.6569959911,11140.1766919527,12325.6359776196,11835.3017176441,12015.5489985622,11175.3706436452,12647.1825704399,12856.6772219683,13548.139310035,14622.2463067944,14266.1029848777,13484.7489815447,13075.9367031551,15551.554635641,13973.8458545182
"A2A8L1","Chromodomain-helicase-DNA-binding protein 5","Chd5",23924.9025743232,28776.652941135,26155.6547428003,27179.904090885,24819.1617679694,25242.9299167941,24210.9991325483,27696.7289601285,27406.8459322402,26521.2664197258,28125.6529075595,25217.7855305517,28460.8197784212,28473.2115928184,23461.5964909935,27615.2786346935
"A2A8L5","Receptor-type tyrosine-protein phosphatase F","Ptprf",9772.96197334161,9184.8219326762,9656.22216222046,9519.95828366091,8797.45059938903,8509.90745790126,8501.10149568377,8778.69795320714,8885.67477447979,10673.0783083141,11333.2686932699,11457.4477659152,10422.1110772617,10847.5221751704,11623.1854700966,9539.75512027849
"A2A8U2","Transmembrane protein 201","Tmem201",7171.14413670152,6967.59608820881,6535.71046882377,5620.92328786382,7573.97896002343,7213.39759523333,7558.23571731762,6184.94618726525,6245.70887395032,7139.77724805553,7516.58627241197,7282.60440739486,7166.62983478916,6853.82095550979,6592.53965185454,7074.27496272658
"A2A8Z1","Oxysterol-binding protein-related protein 9","Osbpl9",239445.372912492,228718.667119332,222354.14039255,201239.164558253,228663.415028836,227282.716311898,209377.747392205,202581.916133582,217934.949444631,205973.629512912,218697.434051681,192190.783691661,215298.873569747,211147.098037138,215527.268862308,203421.805419287
"A2A9C3","Protein SZT2","Szt2",11809.1914133782,12529.4077670515,14025.8563122697,13528.4447772781,10496.0700504265,10265.7793230321,12121.2979343867,12940.9408142017,12650.4556573916,12210.7035255308,13400.6260503425,14086.8050686856,12290.5487539418,10952.7187697252,13893.1110222301,14743.6445529964
"A2AAE1","Uncharacterized protein KIAA1109","Kiaa1109",1053.47894161708,1516.58820122924,1321.31237169225,965.485401913431,1256.45596679851,1193.84708272451,1176.08974207543,1058.69804777667,1357.76278117283,1399.36668656088,1681.68557739141,963.17185115068,1409.61333220674,1439.61535367712,1581.30441136724,1631.5733148364
"A2AAY5","SH3 and PX domain-containing protein 2B","Sh3pxd2b",296876.919921023,320968.873100315,203594.354391683,191976.27511333,302339.230027654,314262.701712217,201162.595973657,199277.135891262,213488.812512358,248447.864045001,255013.228534348,258893.754131671,223698.272299777,245695.412965493,259789.308538603,255020.812335139
"A2ABV5","Mediator of RNA polymerase II transcription subunit 14","Med14",11528.8512883792,13100.5599778581,11290.2932262104,11992.3401826093,10896.3936864436,11049.9373452565,12232.8739091819,11527.7856264084,11618.5229482499,12320.594746041,11798.2283261342,12024.3608304069,11008.7357504701,10594.1737099511,13744.2634450411,10776.6814212564
"A2ADA5","tRNA pseudouridine synthase-like 1","Pusl1",4063.40477435953,3771.04914632585,4365.52286484116,5206.14350511445,3876.09050514686,4084.25890525819,4896.30904444411,3805.61590218529,3778.55664453611,4380.7410966961,3294.26337481137,4327.91994634047,3538.7942948743,4379.86038550534,3515.01542078285,3444.72420836875
"A2ADY9","Protein DDI1 homolog 2","Ddi2",71378.7409316288,71158.9228537669,62787.9137267582,71500.8849831973,68486.066372077,66759.9489173501,63390.9520517781,70009.0432680247,83989.9188207884,80352.6308110569,89334.8967025899,83693.7799085225,90768.7404256321,82227.7947720065,93432.0264923397,78734.4110372083
"A2AF47","Dedicator of cytokinesis protein 11","Dock11",76082.3464530112,75415.8318001519,79048.3072400487,79782.8123563705,79506.2621762054,83221.379508128,82338.1324088119,79693.0508265799,90184.8146206717,85306.2544332811,93906.1840404349,86280.6446415595,92645.7489173428,83529.6026296215,97823.0300194178,83426.9339475746
"A2AG50","MAP7 domain-containing protein 2","Map7d2",32565.2688393674,65952.4552229128,31767.335886485,36977.9593391523,32303.3160647952,31434.8343543996,31124.7599778216,31323.0854617178,29147.3559372673,40744.9385814243,39294.4727201532,39248.624775686,28504.6261663556,39136.639727518,53810.4106076011,44647.0748385236
"A2AG58","Uncharacterized protein CXorf23 homolog","",18278.830640493,21896.539813503,16487.95870535,12773.5350586113,16869.6199484599,19469.5999320074,12185.4788048441,13283.6587652571,13679.0888215,12897.310686238,11645.5257940777,14164.5353791735,13743.7780580263,12734.9244091402,10609.4127822141,13232.7896399117
"A2AGH6","Mediator of RNA polymerase II transcription subunit 12","Med12",17350.5448569364,19512.9800220949,17598.0561338417,20799.9707024865,19691.7660326168,19173.0650894734,19287.8326694616,22488.0837364588,21614.4946264105,20978.148808408,23468.2256798364,23109.7395101201,21383.2311886726,21461.8585657444,24398.9339365356,19754.8341323755
"A2AGT5","Cytoskeleton-associated protein 5","Ckap5",808415.836723507,829208.241163423,845720.220069709,837918.245531345,830920.052636003,851515.322918421,840255.956028382,831647.391619462,730766.736233907,774239.020039706,718416.470206563,801326.952840372,736471.089327513,791367.681686728,732088.705320817,790855.692097284
"A2AH22","Activating molecule in BECN1-regulated autophagy protein 1","Ambra1",7779.82036140732,9326.54710946262,10156.2918909898,13407.5330535362,11211.7728037574,10397.8822667239,9432.41548877228,13451.6795789238,11061.7247238929,11095.6057918263,15720.5299027392,12317.6632019812,11628.6913710199,10976.3880035,16667.9114645592,11279.8005885637
"A2AHC3","Calmodulin-regulated spectrin-associated protein 1","Camsap1",60446.5668742783,61508.7267253093,67795.3041083354,64714.05735925,58347.8476983159,60140.9058437479,61390.483689521,61487.8287576931,58608.1686526912,63482.1987879223,59050.8522361548,62698.3048436731,57163.5270032628,63534.3599196278,59589.3172192802,63858.3011237595
"A2AI08","Taperin","Tprn",15280.173038851,16949.0427329586,14594.7692924184,14448.42528401,15130.9683103178,15792.3537800062,14065.4846102427,14921.5835183529,15080.5705743631,13645.2524816487,17525.5521406378,15275.5606170804,18871.9823846943,15184.2517856899,21359.6273266341,15357.2340999977
"A2AIG8","1-aminocyclopropane-1-carboxylate synthase-like protein 1","Accs",31521.3563894687,32591.637018086,30641.9399576868,26745.6732917076,31301.1514771135,36575.4853069206,29292.1492767609,27820.2409489829,29553.1999763542,35737.6471538347,28355.6855680293,35903.1122122872,28491.2937874191,34605.2964170722,32103.8075098167,33302.5414216647
"A2AIV2","Protein virilizer homolog","Kiaa1429",9329.21758386446,8749.98332208148,8505.01001415496,11789.4187679816,9254.4342132086,11285.4523826482,11062.807270843,11667.9884245674,11290.2182174438,12892.1994666794,12713.4646560882,12411.9759787065,11507.7476478097,13085.5797243227,14177.7317272606,12274.5404651686
"A2AIW0","Serologically defined colon cancer antigen 3 homolog","Sdccag3",8007.36502075261,6530.4385900003,8983.27956673676,5978.71664415771,6561.24131426134,7383.93168367631,8278.74023590372,7457.23083586323,7572.70315602242,4674.0397459871,9250.24953803772,7086.62078939676,5742.0652384175,4402.82805182217,10300.654632234,6993.17129331817
"A2AJ15","Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase","Man1b1",129130.988316618,129201.824801299,124386.369054685,121794.905028359,125157.615323639,132573.555593545,124046.811624064,119539.57623987,120664.361865104,116782.848215084,119891.064912049,117424.589043708,122448.37740445,112420.094047507,115155.726946963,114041.428290625
"A2AJ88","Patatin-like phospholipase domain-containing protein 7","Pnpla7",3760.92099867596,3730.85079545711,4188.92061517851,4436.4088550342,3873.19904159621,3409.93663683331,3863.39213392105,3555.47625240762,4278.43771706997,3236.67978549282,3697.06524622963,4109.96435815511,4109.22965080264,2989.07352763976,3689.81080040051,3140.17890766858
"A2AJI0","MAP7 domain-containing protein 1","Map7d1",425146.162328112,424840.543577786,344866.443159687,318670.733468969,401200.19115694,412269.072954053,340040.125663416,328263.710197561,331563.031526379,319604.559000184,279621.828892683,304350.439704989,316558.291592886,320569.089139835,276454.202822544,302458.407455646
"A2AJT4","Arginine/serine-rich protein PNISR","Pnisr",23879.0882348292,23324.0988669517,24257.6845485229,28623.4849317339,24793.8591453769,25762.1335219529,27751.8083857831,30054.5839545647,36026.0824452869,34652.3648675555,41763.1636550666,33822.0126994913,37636.3534251149,34386.1368450832,44702.5480466256,38043.8015872918
"A2AKG8","Focadhesin","Focad",14165.3574444974,13856.8570576184,16742.2962729459,18193.5345011285,15731.9055968898,13829.0147864778,16005.7216940704,17612.1419782618,16119.1023735713,16274.1230746295,17802.5701955864,16727.5628169942,17034.018717012,15610.2979936366,19174.1828318241,16331.9792052136
"A2AKX3","Probable helicase senataxin","Setx",6782.59469203794,6493.71888510563,6807.8326364006,6716.59388890049,6917.82720680296,7230.52596158908,6434.57678530946,9183.06051796356,7369.45166530744,7659.84383814458,9006.80627170974,5751.7322572847,6659.99943520005,6731.26709407192,8419.14099484517,8625.74425519522
"A2ALU4","Protein Shroom2","Shroom2",120219.008467431,125172.96454847,103255.315506306,164019.381771616,120594.106606063,123859.499210054,122308.991131678,178803.076477564,142614.585198646,77175.1559854513,197602.949655415,76736.3989177863,148741.7332929,72454.1544995825,202623.79308301,74194.3482586835
"A2ALW5","DnaJ homolog subfamily C member 25","Dnajc25",73066.2357696572,77347.1594365415,70542.3410696246,72419.8140836357,71839.5675306765,74257.8912895819,70949.4837956466,75359.0040104737,65419.2544875296,73877.5675002184,53771.847393971,73562.9294416007,65313.4197846229,77114.3636383578,54392.7264670098,76572.4763807679
"A2AMZ4","Uncharacterized protein C17orf89 homolog","",11174.3355661044,11402.4346778171,14470.4689774279,13604.1460304035,12643.1783104191,10232.1644858859,12555.753057483,11971.7611539119,14180.6196665505,12973.9789796172,14653.5699031137,14353.1609326241,13627.5958987221,13561.5943146829,12456.93304773,12515.4772163298
"A2AN08","E3 ubiquitin-protein ligase UBR4","Ubr4",1248767.99649319,1234799.92891222,1200932.27406168,1166850.70442397,1243623.90042161,1219325.57995032,1183593.9910353,1191278.69610355,1140900.183864,1079915.50574266,1077042.28219078,1106361.41927766,1133823.59727593,1049511.3583412,1054705.77160944,1037466.20371691
"A2APB8","Targeting protein for Xklp2","Tpx2",2870.26842256075,2757.58547996514,2568.14002995519,2276.0843953074,3100.38447791662,3088.24450621428,2193.99837163631,2780.57744942776,1995.72973279194,2065.86984178988,2286.32882479602,1532.21990564015,2280.31295454158,2028.01492974874,2153.56300204691,2083.83008070194
"A2APV2","Formin-like protein 2","Fmnl2",13582.8608423596,12690.9737136599,8922.46746777054,7074.07202865914,12165.1394764392,13826.8737406833,8465.2591408795,8337.39284652819,8795.76217232436,8917.37438992996,11066.039262171,8518.41310858372,9111.44318251872,9039.89402540465,10193.0418568338,10449.6429180316
"A2APY7","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 5","Ndufaf5",30011.6648213812,29477.5483608787,35986.8535022766,33620.8190443012,29809.2004092483,29317.3400636694,35668.7656062061,36367.0480335816,33883.0279462061,32503.097043158,35843.0039507224,36482.4621264569,32978.5916123512,30344.8343376049,31847.3471572274,36346.7453656467
"A2AQ19","RNA polymerase-associated protein RTF1 homolog","Rtf1",132403.441137617,127605.483946405,132924.84453826,158173.562780269,128428.882958813,130089.94247196,141701.487989886,154479.003717594,155004.376798412,148361.666388059,194881.712225178,148236.884121108,159017.18820186,154139.310171344,193994.656513535,157083.922725178
"A2AQ25","Sickle tail protein","Skt",142046.268783494,142498.223205262,121852.554941417,142391.954316218,143962.885900426,149027.492524042,121854.788048441,146634.323344411,163715.175686131,191789.995237756,181882.419752676,195693.829684316,162236.005402257,193035.751007962,172150.268834163,201247.374030729
"A2AR02","Peptidyl-prolyl cis-trans isomerase G","Ppig",74821.3612993196,74522.9631863975,83344.3173573728,88366.4933357518,75398.2006652937,74811.3516274522,87549.6190899534,92428.1383260243,96099.2490927308,94881.2724064194,119861.699040499,100556.075263696,104602.03588509,91748.9632174991,120415.678492226,97534.494835757
"A2ARA8","Integrin alpha-8;Integrin alpha-8 heavy chain;Integrin alpha-8 light chain","Itga8",169283.984430275,151620.170947516,288539.277343625,294961.521552624,172545.81277903,171337.189702413,297226.54807829,295727.759259706,382582.246602648,750684.816573756,194597.842133534,840637.761864449,394486.046477053,842046.141113478,167503.810681369,828558.33289775
"A2ARV4","Low-density lipoprotein receptor-related protein 2","Lrp2",32006.7702245836,29333.2463626962,46737.8745926823,47625.550872493,30093.854913414,30876.0214020431,45262.324642578,50257.1395369074,41905.8716944971,34464.9534837396,41916.845049508,27540.3672079299,41283.711377044,34499.2231842295,42514.0863711968,34048.5963291184
"A2ASQ1","Agrin;Agrin N-terminal 110 kDa subunit;Agrin C-terminal 110 kDa subunit;Agrin C-terminal 90 kDa fragment;Agrin C-terminal 22 kDa fragment","Agrn",14271.1667523764,14774.205474636,14543.1368538839,16947.6180434403,15233.0824657804,14202.6272776127,14699.3941307604,19801.9761590312,19491.2373975291,31016.5840215275,23547.5135330196,35431.5483286606,22142.2244752751,32094.6043603656,29582.4502394583,35202.0447036239
"A2ASS6","Titin","Ttn",175981.604537253,182168.388598481,185025.799644646,166574.299064597,170331.833302186,172257.839394035,184722.41915649,165750.863601331,163624.438197717,170007.681218793,176890.221589291,183640.449537993,172397.182777474,171295.121466648,175539.568395834,178078.432683674
"A2AT37","","Upf2",208869.755388292,193145.647745939,176726.36322836,167552.106917467,201562.498902078,193753.939170507,168548.839801223,169378.332823541,179849.95089861,156071.089222303,183800.990027232,164415.152743988,180339.471372536,153385.401243702,179059.612450981,146111.79192544
"A2ATU0","Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial","Dhtkd1",27408.9740110801,30555.9481151536,24275.8515176369,19901.0183216228,26996.99464111,29522.8804599384,21557.8606876397,18855.0509111477,20875.3965389677,16677.9094197601,25196.8966517068,16467.4253778948,21802.2488123929,18520.7371096513,22549.4022172739,17467.9321547536
"A2AVA0","Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1","Svep1",40601.3221501338,46652.0629659976,25613.5141381881,24146.5969344035,45153.4336814173,47797.7768386319,25524.2384819075,24494.3190148772,33080.4136168737,28058.039767016,39624.3493438907,26656.3144766476,31955.8076853611,28726.5600580377,39931.3797615915,28737.4851789036
"A2AVZ9","Solute carrier family 43 member 3","Slc43a3",4629.97533290999,4606.58348401674,5686.45275068209,6095.52798603171,6215.86033937656,4922.47859515108,6566.39441924891,5155.01187244248,7161.00274672274,5493.02782602417,6630.22638281481,5413.96774326595,6698.18727072477,5649.23262646596,6773.36914717079,3140.053818309
"A2AWA9","Rab GTPase-activating protein 1","Rabgap1",638466.453552962,623423.284469531,625526.992845454,607103.021939531,651099.735861628,647602.121453156,620461.159661936,610560.93157013,580571.446321423,598711.221697609,591683.157223521,614256.005599514,603899.627059092,612559.770092296,631918.308780052,597143.847533801
"A2BDX3","Adenylyltransferase and sulfurtransferase MOCS3;Molybdopterin-synthase adenylyltransferase;Molybdopterin-synthase sulfurtransferase","Mocs3",85977.152966105,88609.1573482702,83486.7846414773,93683.454961515,87029.2740720126,87611.5939096874,82805.1716661404,90481.9899611027,87338.9570295136,79479.4641364602,106294.666384711,84719.8200069627,93356.174252105,77925.2540547173,98229.3436760691,81996.0581200461
"A2BE28","Ribosomal biogenesis protein LAS1L","Las1l",45851.4272926231,45657.4099070965,42854.9239836341,49424.5070405138,45884.4987413221,45962.9005927716,42643.7451279158,45920.8672795606,51521.5708075783,49903.3921605356,57504.2496678903,50625.2330186938,49815.4815836584,48769.141235581,53621.333955496,45284.4081765494
"A2BH40","AT-rich interactive domain-containing protein 1A","Arid1a",36241.3241749562,33100.559243819,32823.888563904,33948.8578078444,33558.506878402,35166.6771741597,32477.4952474624,35563.663745718,37149.5775291006,35545.1245504602,46778.8545156915,37306.4034176286,35763.1541845289,35818.5638076036,39702.0740345705,36609.1767401279
"A2CG49","Kalirin","Kalrn",176472.472460403,179514.262560481,130859.54699688,137282.119730256,180832.421678076,185318.218740298,132202.71916219,135295.700223455,134382.220340745,144272.690741167,126723.524359192,151491.193120201,144408.710138519,148327.198322194,132001.652068026,147598.9030475
"A2RSJ4","UHRF1-binding protein 1-like","Uhrf1bp1l",194001.911404887,180557.875225908,173571.047540141,176751.911984785,185323.637188245,176625.572814752,174631.211524571,169923.565927493,163203.746205981,152799.90870479,147729.91114081,150516.973228753,161778.895267289,148178.169813242,141978.462647186,145024.57623116
"A2RSQ0","DENN domain-containing protein 5B","Dennd5b",8625.64022734969,7856.47050297796,8848.55677491394,7968.50305443196,8012.88838950578,8337.33948049678,8608.23417944729,7203.30831630093,7940.60242722721,7057.82719475156,8645.41008799198,6608.52725605521,9664.07010344036,6560.23487848245,7747.91848701016,8198.9808533603
"A2RSX7","tRNA wybutosine-synthesizing protein 5","Tyw5",51641.4871505772,43615.2789506739,52467.1629574733,51120.4253917805,44147.6544333652,47502.3125189951,50289.1678964036,52122.0592965465,54623.9680250698,51386.4977024604,57229.1893377117,46878.6320531774,55335.0864633923,52519.3998314578,57975.1255882769,57454.9755864181
"A2RSY6","TRMT1-like protein","Trmt1l",56309.0956909287,56570.2485196513,56225.813251531,57114.4926704984,55894.3969719355,54102.086180447,57517.9087059218,59571.7238495198,51418.46002529,51699.1339654623,59896.5893367754,51642.9818840153,53539.9768708633,49333.6962930249,53056.1154529267,53728.4500687851
"A2RTL5","Arginine/serine-rich coiled-coil protein 2","Rsrc2",40355.8881885589,39578.6882336568,44795.9212100236,60563.105312876,41192.6695805977,40128.5508028425,48505.9270956947,61182.9433077283,57825.3515935581,57612.8149947796,73299.1731118879,55925.4037898282,59111.9589535623,60167.192255588,76465.4141465295,63973.2710592465
"A2TJV2","Paralemmin-3","Palm3",1383.48402422023,1502.4156835506,1883.91474380812,3274.39467089811,1103.01358995255,2307.72615729721,2048.75202837557,2639.59580116659,1701.16297078357,2240.16230395302,1983.077329624,2331.08014071921,1400.85210111951,1665.61274711684,1786.87488597233,2446.73521192268
"A3KGB4","TBC1 domain family member 8B","Tbc1d8b",456038.116958342,473825.918317967,690124.910389728,527406.42489922,506992.263546388,460474.719016532,644553.67103364,530912.389568362,517706.864575869,513336.817670213,429270.310308049,575909.052425487,510972.945871301,511518.441022461,396246.330653573,495695.376198639
"A3KGF9","Uncharacterized protein C15orf52 homolog","",88957.266668428,81747.081970411,67456.8247890537,70474.7124408313,77151.3109449173,78264.8584939313,69751.7700131107,69889.9821616516,67207.6078955385,56335.0101051259,68171.8919393755,53643.2418739037,68594.1373157968,56725.5103370718,62223.3158994033,54447.0121655788
"A3KGK3","Fer-1-like protein 4","Fer1l4",78980.6488348093,79541.322855335,115714.031693427,95058.6943932924,88991.1309880243,82018.1117716362,112306.649320393,86853.4080182728,95629.063925496,85664.0398023841,88843.5077853311,75507.2236079378,95048.4340642664,82777.4469785551,87125.1132723885,80191.5300021849
"A3KGS3","Ral GTPase-activating protein subunit alpha-2","Ralgapa2",46262.6655304619,44541.6462425779,26860.3419131693,31702.0025588319,44563.3403759564,43667.6995011005,21029.6027538749,25667.1265486836,27443.965813864,18419.9834193213,25862.5230734915,15655.9209364012,28831.2694503012,21878.2617525237,23694.9251255062,19422.4210580327
"A3KGW5","Probable inactive glycosyltransferase 25 family member 3","Cercam",48735.5490455301,49445.3373593882,65274.8761828365,90956.1070364152,55878.1310002689,51241.6489990359,76057.2936860493,94787.1060410809,101634.235885969,103664.051347973,103788.778679168,109775.9264917,103383.075525176,108790.811535368,106405.90315274,115058.662285042
"A3KMP2","Tetratricopeptide repeat protein 38","Ttc38",111514.283963574,117983.632853304,95077.3109362031,89874.2099604986,112533.413980165,113507.542793795,97109.606594086,94225.1821278245,110790.473353173,110836.796128562,129513.282156378,112522.397462272,119867.609767446,113664.920416405,138760.136653909,110063.718457417
"A6H5X4","PHD finger protein 11","Phf11",4355.52551646373,5785.4792727402,5234.47749550212,4138.33517085309,5450.18508292261,5534.60337870337,4144.10943553446,4686.77925274441,4455.78826260591,11179.9409145434,5516.67243807234,11288.5138911215,6388.11413617244,11110.5136615573,7759.68568785411,9531.75733376127
"A6H5Y3","Methionine synthase","Mtr",86341.4860468429,90184.8836319957,98369.356970912,105082.801994642,86458.1577334961,89479.656365362,95371.7861017008,96358.2675569582,102459.122144275,102931.443211238,110777.856107908,104832.27874467,107373.266078331,100629.309074496,105983.497866122,100964.84780219
"A6H5Z3","Exocyst complex component 6B","Exoc6b",232256.884882364,233047.727064808,178571.744827834,145798.510706859,227922.409652912,224210.315596835,168015.644877423,159875.698726096,157644.012824994,154818.840430442,149609.326919967,164259.692123012,152331.952477958,159819.9262773,151824.52873287,157183.896582123
"A6H611","Mitochondrial intermediate peptidase","Mipep",16158.2812124857,16222.3790992536,17100.8548738799,16132.7781660493,15935.2302427224,16053.5613669315,15622.6112673401,15374.460810819,17820.0178381997,16545.0177112361,17146.7323976515,17046.7752920645,15457.9410641549,16288.8160285147,15070.8171903952,15244.7635109343
"A6H619","PHD and RING finger domain-containing protein 1","Phrf1",15435.069139045,15990.4651736031,14431.2665703924,16168.5259800251,12943.1951211588,14202.6272776127,14623.3644842186,18688.1428181012,18177.1935880465,18218.9421166825,21928.4751482668,17452.0093107414,16950.2151922679,17698.4503955483,21229.8885600301,20720.8315251087
"A6H630","Protein-glutamate O-methyltransferase","Armt1",84284.2040400416,87820.6500010585,67583.0374165825,68223.6515666452,82874.2219762863,87887.788817174,64817.7421719466,73514.1132220002,76075.9600585939,67583.9524837107,84014.7796402369,66730.9533517849,70329.2512031113,68490.8727997324,78087.6515925159,65434.1390438586
"A6H687","SAC3 domain-containing protein 1","Sac3d1",6811.17432639164,7129.16266392398,7122.02567982035,7478.02201855723,8067.47011409236,6266.09146529734,6485.131273993,7183.1679644092,7726.54444319662,7050.67198651203,8248.77581433532,8537.17161866943,7487.65456632509,6258.14523884353,8355.27733841607,6279.23323148491
"A6H6A9","Rab GTPase-activating protein 1-like","Rabgap1l",87472.6639053015,89406.6835703684,85316.8677406445,79090.9870153082,91378.6141626457,92967.4199645526,88401.7435700264,83654.3362348824,82884.5712346574,88671.1406427025,91117.405105634,93046.2908664256,83490.213839054,90004.4530244662,95960.4238508084,95496.2778272863
"A6H6A9","Rab GTPase-activating protein 1-like","Rabgap1l",11816.8271366272,13780.8408264329,14537.3999162689,14436.8598147825,12056.6996653285,13357.9847116945,13861.093222786,14581.0910085382,14211.9653443662,14370.1937890455,16079.772398026,14795.7055003352,15310.3325830716,13138.1780216,16269.6436228911,14306.258928861
"A6H8H2","DENN domain-containing protein 4C","Dennd4c",155157.896419629,154944.270548506,158262.985670931,151717.928138745,149610.79272911,154786.905711165,154626.527902001,157928.437640554,162774.805351662,156658.879471544,172837.731315484,161419.944779855,169121.226810206,162002.755614311,177158.788661202,174666.824815418
"A6X8Z5","Rho GTPase-activating protein 31","Arhgap31",54533.2446267332,49378.3400030892,59086.6328088499,46601.4811427138,45237.4745350281,44642.9458604813,58505.3067129588,55937.5783035884,60489.7342078888,52770.7863329185,61210.2226574153,57528.7209941584,49613.5912740477,52576.381320175,60767.0233874452,57603.6866986242
"A6X919","Probable C-mannosyltransferase DPY19L1","Dpy19l1",36829.274865129,37385.8132255614,60567.7188697747,48019.8282325209,37652.1097478322,38801.1024102715,58577.3867674725,52093.1285604184,40303.1176946072,59542.3003781567,37691.09613356,62781.2171748602,40701.8482677415,61127.1111809,35800.8594945944,62582.3847744961
"A8C756","Thyroid adenoma-associated protein homolog","Thada",36940.538261043,34364.4901386144,37284.3575595232,41025.8735687723,34960.9951021008,37426.5510102222,38664.5311595565,44807.0339386306,38872.7649227033,38064.1039229309,41394.13253593,35995.3521807328,39519.0757935128,37493.819575888,40956.2154450759,39036.0421174731
"A8Y5H7","","Sec14l1",5935.24778797092,6404.04537469941,8015.64942234948,8525.85363324383,7723.89646939276,6729.19977518432,8168.8420663158,7280.41963796014,7616.83457084183,7917.27909629433,8369.8603266208,7514.86267634402,7228.53016556603,7285.8281325962,7297.25266812607,6984.92332808179
"B0F2B4","Neuroligin 4-like","Nlgn4l",29097.5596667155,28481.6068912796,30985.2000583143,27517.4055110689,27961.2052949029,30910.2781347546,31039.8437492164,29406.9805535445,27305.3849224684,31623.1154091498,28623.8938615131,31826.9347303021,26808.5571030695,33124.6543487141,30503.696055034,33216.3139700495
